Compare the state of model 1/2 (precision = 1e-10): {'Input (Linear)': (tensor(True), tensor(False)), 'Core (GRU)': (tensor(False), tensor(False), tensor(False), tensor(False)), 'Output (Linear)': (tensor(False), tensor(False))}
Compare the state of model 1/3 (precision = 1e-10): {'Input (Linear)': (tensor(True), tensor(False)), 'Core (GRU)': (tensor(False), tensor(False), tensor(False), tensor(False)), 'Output (Linear)': (tensor(False), tensor(False))}
Compare the state of model 1/4 (precision = 1e-10): {'Input (Linear)': (tensor(True), tensor(False)), 'Core (GRU)': (tensor(False), tensor(False), tensor(False), tensor(False)), 'Output (Linear)': (tensor(False), tensor(False))}
Compare the state of model 1/5 (precision = 1e-10): {'Input (Linear)': (tensor(True), tensor(False)), 'Core (GRU)': (tensor(False), tensor(False), tensor(False), tensor(False)), 'Output (Linear)': (tensor(False), tensor(False))}
Compare the state of model 1/6 (precision = 1e-10): {'Input (Linear)': (tensor(True), tensor(False)), 'Core (GRU)': (tensor(False), tensor(False), tensor(False), tensor(False)), 'Output (Linear)': (tensor(False), tensor(False))}
Compare the state of model 1/7 (precision = 1e-10): {'Input (Linear)': (tensor(True), tensor(True)), 'Core (GRU)': (tensor(True), tensor(True), tensor(True), tensor(True)), 'Output (Linear)': (tensor(True), tensor(True))}
Compare the state of model 2/3 (precision = 1e-10): {'Input (Linear)': (tensor(True), tensor(True)), 'Core (GRU)': (tensor(True), tensor(True), tensor(True), tensor(True)), 'Output (Linear)': (tensor(True), tensor(True))}
Compare the state of model 2/4 (precision = 1e-10): {'Input (Linear)': (tensor(True), tensor(True)), 'Core (GRU)': (tensor(True), tensor(True), tensor(True), tensor(True)), 'Output (Linear)': (tensor(True), tensor(True))}
Compare the state of model 2/5 (precision = 1e-10): {'Input (Linear)': (tensor(True), tensor(True)), 'Core (GRU)': (tensor(True), tensor(True), tensor(True), tensor(True)), 'Output (Linear)': (tensor(True), tensor(True))}
Compare the state of model 2/6 (precision = 1e-10): {'Input (Linear)': (tensor(True), tensor(False)), 'Core (GRU)': (tensor(False), tensor(False), tensor(False), tensor(False)), 'Output (Linear)': (tensor(False), tensor(False))}
Compare the state of model 2/7 (precision = 1e-10): {'Input (Linear)': (tensor(True), tensor(False)), 'Core (GRU)': (tensor(False), tensor(False), tensor(False), tensor(False)), 'Output (Linear)': (tensor(False), tensor(False))}
Compare the state of model 3/4 (precision = 1e-10): {'Input (Linear)': (tensor(True), tensor(True)), 'Core (GRU)': (tensor(True), tensor(True), tensor(True), tensor(True)), 'Output (Linear)': (tensor(True), tensor(True))}
Compare the state of model 3/5 (precision = 1e-10): {'Input (Linear)': (tensor(True), tensor(True)), 'Core (GRU)': (tensor(True), tensor(True), tensor(True), tensor(True)), 'Output (Linear)': (tensor(True), tensor(True))}
Compare the state of model 3/6 (precision = 1e-10): {'Input (Linear)': (tensor(True), tensor(False)), 'Core (GRU)': (tensor(False), tensor(False), tensor(False), tensor(False)), 'Output (Linear)': (tensor(False), tensor(False))}
Compare the state of model 3/7 (precision = 1e-10): {'Input (Linear)': (tensor(True), tensor(False)), 'Core (GRU)': (tensor(False), tensor(False), tensor(False), tensor(False)), 'Output (Linear)': (tensor(False), tensor(False))}
Compare the state of model 4/5 (precision = 1e-10): {'Input (Linear)': (tensor(True), tensor(True)), 'Core (GRU)': (tensor(True), tensor(True), tensor(True), tensor(True)), 'Output (Linear)': (tensor(True), tensor(True))}
Compare the state of model 4/6 (precision = 1e-10): {'Input (Linear)': (tensor(True), tensor(False)), 'Core (GRU)': (tensor(False), tensor(False), tensor(False), tensor(False)), 'Output (Linear)': (tensor(False), tensor(False))}
Compare the state of model 4/7 (precision = 1e-10): {'Input (Linear)': (tensor(True), tensor(False)), 'Core (GRU)': (tensor(False), tensor(False), tensor(False), tensor(False)), 'Output (Linear)': (tensor(False), tensor(False))}
Compare the state of model 5/6 (precision = 1e-10): {'Input (Linear)': (tensor(True), tensor(False)), 'Core (GRU)': (tensor(False), tensor(False), tensor(False), tensor(False)), 'Output (Linear)': (tensor(False), tensor(False))}
Compare the state of model 5/7 (precision = 1e-10): {'Input (Linear)': (tensor(True), tensor(False)), 'Core (GRU)': (tensor(False), tensor(False), tensor(False), tensor(False)), 'Output (Linear)': (tensor(False), tensor(False))}
Compare the state of model 6/7 (precision = 1e-10): {'Input (Linear)': (tensor(True), tensor(False)), 'Core (GRU)': (tensor(False), tensor(False), tensor(False), tensor(False)), 'Output (Linear)': (tensor(False), tensor(False))}
